Typ aktywności,Data,Ulubiony,Tytuł,Dystans,Kalorie,Czas,Średnie tętno,Maksymalne tętno,Średni rytm biegu,Maksymalny rytm biegu,Średnie tempo,Najlepsze tempo,Całkowity wznios,Całkowity spadek,Średnia długość kroku,Średnie odchylenie do długości,Średnie odchylenie pionowe,Średni czas kontaktu z podłożem,Średni rytm biegu,Maksymalny rytm biegu,Training Stress Score® (TSS®),Średnia moc,Maksymalna moc,Trudność,Płynność,Średni Swolf,Średnie tempo ruchów,Razem powtórzeń,Czas nurkowania,Minimalna temperatura,Przerwa powierzchniowa,Dekompresja,Czas najlepszego okrążenia,Liczba okrążeń,Maksymalna temperatura,Czas ruchu,Upłynęło czasu,Minimalna wysokość,Maksymalna wysokość
Piesze wędrówki,2023-01-14 07:38:23,FALSE,Bielsko-Biała Piesze wędrówki,12.99,"1,524",04:19:57,117,181,65,237,20:00,09:01,682,681,0.77,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,00:00,0.0,00:00,Nie,04:19:57.42,1,0.0,02:51:46,04:19:57,413,920
Piesze wędrówki,2023-01-07 07:40:37,FALSE,Wilkowice Piesze wędrówki,18.53,"1,934",05:45:21,117,182,58,244,18:39,00:48,811,791,0.92,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,00:00,0.0,00:00,Nie,05:45:20.96.2,1,0.0,03:25:09,05:45:21,484,"1,134"
Piesze wędrówki,2022-12-28 08:12:24,FALSE,Porąbka Piesze wędrówki,10.35,"1,035",03:25:17,108,186,69,263,19:50,05:39,567,563,0.73,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,00:00,0.0,00:00,Nie,03:25:17.32.3,1,0.0,02:19:36,03:25:17,386,780
Piesze wędrówki,2022-12-10 07:54:29,FALSE,Kozy Piesze wędrówki,12.23,"1,546",04:18:09,114,168,61,235,21:06,07:58,617,570,0.77,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,00:00,0.0,00:00,Nie,01:53:47.89.1,2,0.0,02:46:36,04:18:15,400,839
Piesze wędrówki,2022-11-12 07:51:22,FALSE,Brenna Piesze wędrówki,13.50,"1,742",04:56:36,116,186,55,248,21:59,05:22,588,589,0.83,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,00:00,0.0,00:00,Nie,04:56:35.98.6,1,0.0,02:41:36,04:56:39,475,940
Piesze wędrówki,2022-10-31 03:53:31,FALSE,Brenna Piesze wędrówki,17.30,"2,431",08:02:47,111,188,43,231,27:55:00,05:50,686,664,0.84,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,00:00,0.0,00:00,Nie,08:02:46.96.8,1,0.0,03:41:55,08:02:47,924,"1,236"
Piesze wędrówki,2022-10-29 07:50:33,FALSE,Łękawica Chodzenie,14.27,"2,302",07:01:40,116,194,44,229,29:33:00,00:55,696,691,0.80,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,00:00,0.0,00:00,Nie,03:24.32,15,0.0,03:13:37,07:01:44,698,890
Piesze wędrówki,2022-09-24 07:38:04,FALSE,Lutowiska Piesze wędrówki,19.96,"2,044",06:22:46,116,170,66,229,19:11,09:07,876,854,0.79,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,00:00,0.0,00:00,Nie,06:22:46.38.2,1,0.0,04:29:08,06:22:49,746,"1,358"
Piesze wędrówki,2022-09-23 08:24:06,FALSE,Lutowiska Piesze wędrówki,11.92,"1,459",05:02:19,108,168,55,229,25:22:00,10:57,734,680,0.72,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,00:00,0.0,00:00,Nie,05:02:19.30.4,1,0.0,03:02:32,05:02:24,707,"1,328"
Piesze wędrówki,2022-09-22 09:14:24,FALSE,Lutowiska Piesze wędrówki,13.30,"1,303",04:09:49,112,171,63,205,18:47,01:10,760,403,0.85,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,00:00,0.0,00:00,Nie,04:09:49.08.5,1,0.0,02:48:56,04:09:49,606,946
Piesze wędrówki,2022-09-14 05:15:13,TRUE,Bukowina Tatrzańska Piesze wędrówki,31.67,"3,356",11:50:14,109,178,45,243,22:26,00:51,"1,682","1,547",0.99,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,00:00,0.0,00:00,Nie,11:50:13.98.4,1,0.0,05:25:11,11:50:14,986,"2,464"
Piesze wędrówki,2022-09-03 08:14:08,FALSE,Ujsoły Piesze wędrówki,16.30,"1,835",06:21:01,107,181,51,246,23:23,01:16,862,848,0.84,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,00:00,0.0,00:00,Nie,06:21:01.36.3,1,0.0,03:21:04,06:21:01,745,"1,392"
Piesze wędrówki,2022-08-29 05:28:53,FALSE,Kęty Piesze wędrówki,2.34,170,00:47:58,86,124,40,158,20:32,07:09,11,12,1.21,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,00:00,0.0,00:00,Nie,47:58.13.1,1,0.0,00:18:41,00:47:58,269,277
